t;x;y;To;q;T_amb;T
0;0;0.02;25.86;1;25.86;25.651448
0.016666667;0;0.02;25.86;1;25.86;25.651448
0.033333333;0;0.02;25.86;1;25.85;25.64141
0.05;0;0.02;25.86;1;25.85;25.651448
0.066666667;0;0.02;25.86;1;25.85;25.651448
0.083333333;0;0.02;25.86;1;25.85;25.631372
0.1;0;0.02;25.86;1;25.85;25.661486
0.116666667;0;0.02;25.86;1;25.85;25.661486
0.133333333;0;0.02;25.86;1;25.84;25.671524
0.15;0;0.02;25.86;1;25.84;25.671524
0.166666667;0;0.02;25.86;1;25.84;25.681562
0.183333333;0;0.02;25.86;1;25.84;25.6916
0.2;0;0.02;25.86;1;25.84;25.711676
0.216666667;0;0.02;25.86;1;25.83;25.721714
0.233333333;0;0.02;25.86;1;25.83;25.74179
0.25;0;0.02;25.86;1;25.83;25.761866
0.266666667;0;0.02;25.86;1;25.83;25.751828
0.283333333;0;0.02;25.86;1;25.83;25.771904
0.3;0;0.02;25.86;1;25.83;25.781942
0.316666667;0;0.02;25.86;1;25.83;25.802018
0.333333333;0;0.02;25.86;1;25.83;25.79198
0.35;0;0.02;25.86;1;25.83;25.802018
0.366666667;0;0.02;25.86;1;25.83;25.822094
0.383333333;0;0.02;25.86;1;25.83;25.822094
0.4;0;0.02;25.86;1;25.84;25.812056
0.416666667;0;0.02;25.86;1;25.85;25.84217
0.433333333;0;0.02;25.86;1;25.85;25.852208
0.45;0;0.02;25.86;1;25.85;25.872284
0.466666667;0;0.02;25.86;1;25.85;25.89236
0.483333333;0;0.02;25.86;1;25.84;25.872284
0.5;0;0.02;25.86;1;25.84;25.89236
0.516666667;0;0.02;25.86;1;25.84;25.89236
0.533333333;0;0.02;25.86;1;25.84;25.912436
0.55;0;0.02;25.86;1;25.84;25.932512
0.566666667;0;0.02;25.86;1;25.84;25.932512
0.583333333;0;0.02;25.86;1;25.84;25.94255
0.6;0;0.02;25.86;1;25.84;25.962626
0.616666667;0;0.02;25.86;1;25.84;25.972664
0.633333333;0;0.02;25.86;1;25.83;25.952588
0.65;0;0.02;25.86;1;25.83;25.952588
0.666666667;0;0.02;25.86;1;25.84;25.982702
0.683333333;0;0.02;25.86;1;25.84;25.99274
0.7;0;0.02;25.86;1;25.84;25.972664
0.716666667;0;0.02;25.86;1;25.84;26.012816
0.733333333;0;0.02;25.86;1;25.84;25.99274
0.75;0;0.02;25.86;1;25.84;26.022854
0.766666667;0;0.02;25.86;1;25.84;26.002778
0.783333333;0;0.02;25.86;1;25.85;26.04293
0.8;0;0.02;25.86;1;25.85;26.032892
0.816666667;0;0.02;25.86;1;25.85;26.022854
0.833333333;0;0.02;25.86;1;25.85;26.052968
0.85;0;0.02;25.86;1;25.85;26.052968
0.866666667;0;0.02;25.86;1;25.85;26.052968
0.883333333;0;0.02;25.86;1;25.85;26.063006
0.9;0;0.02;25.86;1;25.85;26.083082
0.916666667;0;0.02;25.86;1;25.85;26.04293
0.933333333;0;0.02;25.86;1;25.86;26.09312
0.95;0;0.02;25.86;1;25.87;26.073044
0.966666667;0;0.02;25.86;1;25.87;26.09312
0.983333333;0;0.02;25.86;1;25.87;26.103158
1;0;0.02;25.86;1;25.87;26.113196
1.016666667;0;0.02;25.86;1;25.87;26.133272
1.033333333;0;0.02;25.86;1;25.87;26.14331
1.05;0;0.02;25.86;1;25.87;26.113196
1.066666667;0;0.02;25.86;1;25.87;26.163386
1.083333333;0;0.02;25.86;1;25.87;26.163386
1.1;0;0.02;25.86;1;25.87;26.163386
1.116666667;0;0.02;25.86;1;25.87;26.163386
1.133333333;0;0.02;25.86;1;25.87;26.183462
1.15;0;0.02;25.86;1;25.87;26.1935
1.166666667;0;0.02;25.86;1;25.87;26.203538
1.183333333;0;0.02;25.86;1;25.87;26.203538
1.2;0;0.02;25.86;1;25.87;26.213576
1.216666667;0;0.02;25.86;1;25.87;26.213576
1.233333333;0;0.02;25.86;1;25.87;26.233652
1.25;0;0.02;25.86;1;25.87;26.24369
1.266666667;0;0.02;25.86;1;25.87;26.223614
1.283333333;0;0.02;25.86;1;25.87;26.253728
1.3;0;0.02;25.86;1;25.87;26.253728
1.316666667;0;0.02;25.86;1;25.88;26.253728
1.333333333;0;0.02;25.86;1;25.87;26.253728
1.35;0;0.02;25.86;1;25.88;26.283842
1.366666667;0;0.02;25.86;1;25.88;26.29388
1.383333333;0;0.02;25.86;1;25.88;26.29388
1.4;0;0.02;25.86;1;25.88;26.283842
1.416666667;0;0.02;25.86;1;25.88;26.29388
1.433333333;0;0.02;25.86;1;25.88;26.323994
1.45;0;0.02;25.86;1;25.88;26.303918
1.466666667;0;0.02;25.86;1;25.88;26.323994
1.483333333;0;0.02;25.86;1;25.88;26.334032
1.5;0;0.02;25.86;1;25.88;26.334032
1.516666667;0;0.02;25.86;1;25.88;26.334032
1.533333333;0;0.02;25.86;1;25.88;26.34407
1.55;0;0.02;25.86;1;25.89;26.354108
1.566666667;0;0.02;25.86;1;25.89;26.354108
1.583333333;0;0.02;25.86;1;25.89;26.354108
1.6;0;0.02;25.86;1;25.89;26.364146
1.616666667;0;0.02;25.86;1;25.89;26.364146
1.633333333;0;0.02;25.86;1;25.89;26.374184
1.65;0;0.02;25.86;1;25.9;26.39426
1.666666667;0;0.02;25.86;1;25.9;26.39426
1.683333333;0;0.02;25.86;1;25.9;26.404298
1.7;0;0.02;25.86;1;25.9;26.404298
1.716666667;0;0.02;25.86;1;25.9;26.404298
1.733333333;0;0.02;25.86;1;25.9;26.414336
1.75;0;0.02;25.86;1;25.91;26.424374
1.766666667;0;0.02;25.86;1;25.91;26.434412
1.783333333;0;0.02;25.86;1;25.91;26.434412
1.8;0;0.02;25.86;1;25.91;26.44445
1.816666667;0;0.02;25.86;1;25.91;26.44445
1.833333333;0;0.02;25.86;1;25.91;26.44445
1.85;0;0.02;25.86;1;25.91;26.454488
1.866666667;0;0.02;25.86;1;25.91;26.464526
1.883333333;0;0.02;25.86;1;25.91;26.454488
1.9;0;0.02;25.86;1;25.91;26.464526
1.916666667;0;0.02;25.86;1;25.91;26.474564
1.933333333;0;0.02;25.86;1;25.91;26.474564
1.95;0;0.02;25.86;1;25.92;26.474564
1.966666667;0;0.02;25.86;1;25.93;26.474564
1.983333333;0;0.02;25.86;1;25.93;26.474564
2;0;0.02;25.86;1;25.93;26.474564
0;0;0;25.86;1;25.86;25.496402
0.016666667;0;0;25.86;1;25.86;25.506431
0.033333333;0;0;25.86;1;25.85;25.496402
0.05;0;0;25.86;1;25.85;25.496402
0.066666667;0;0;25.86;1;25.85;25.506431
0.083333333;0;0;25.86;1;25.85;25.51646
0.1;0;0;25.86;1;25.85;25.51646
0.116666667;0;0;25.86;1;25.85;25.526489
0.133333333;0;0;25.86;1;25.84;25.526489
0.15;0;0;25.86;1;25.84;25.536518
0.166666667;0;0;25.86;1;25.84;25.546547
0.183333333;0;0;25.86;1;25.84;25.556576
0.2;0;0;25.86;1;25.84;25.556576
0.216666667;0;0;25.86;1;25.83;25.556576
0.233333333;0;0;25.86;1;25.83;25.566605
0.25;0;0;25.86;1;25.83;25.586663
0.266666667;0;0;25.86;1;25.83;25.586663
0.283333333;0;0;25.86;1;25.83;25.596692
0.3;0;0;25.86;1;25.83;25.606721
0.316666667;0;0;25.86;1;25.83;25.61675
0.333333333;0;0;25.86;1;25.83;25.626779
0.35;0;0;25.86;1;25.83;25.636808
0.366666667;0;0;25.86;1;25.83;25.646837
0.383333333;0;0;25.86;1;25.83;25.646837
0.4;0;0;25.86;1;25.84;25.676924
